[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192238.951:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192241.215:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192242.481:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192307.177:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192308.306:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192313.515:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192313.526:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192313.528:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192327.615:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192327.992:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192328.338:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192328.348:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192338.246:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192338.252:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192338.388:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192338.400:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.154:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.275:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.323:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.332:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.745:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.849:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.855:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.899:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192339.904:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.401:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.407:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.446:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.450:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.621:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.628:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.681:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192340.685:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192341.549:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192341.555:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192341.594:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192341.598:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192350.372:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192350.387:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192350.387:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.412:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.415:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.416:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.418:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.420:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.421:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.474:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.511:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/192740.513:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\win64-579032\chrome-win32\*.pdb'
[0811/193018.604:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.606:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.610:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.612:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.613:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.614:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.671:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.711:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0811/193018.713:ERROR:sandbox_policy_base.cc(345)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 1, pattern = 'E:\gitproject\pachong\node_modules\puppeteer\.local-chromium\chrome-win32\*.pdb'
[0921/170002.018:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
[0922/170002.072:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
[0923/170002.074:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
[0924/170014.383:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
[0925/170014.510:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
[0926/170017.121:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
